"","OBJECTID","ID","ADDRESS","TERMINAL_NUMBER","LATITUDE","LONGITUDE","location","zipcode"
"225",158974737,195,"Henry St & Pendleton St",31046,38.811456,-77.050276,"600 N Henry St, Alexandria, VA 22314, USA","22314"
"226",158974738,196,"Braddock Rd Metro",31047,38.814577,-77.052808,"814 N West St, Alexandria, VA 22314, USA","22314"
"227",158974739,197,"King St Metro South",31048,38.805767,-77.06072,"1850-1864 Diagonal Rd, Alexandria, VA 22314, USA","22314"
"228",158974740,198,"24th & N St NW",31255,38.9066,-77.05152,"120 Nairobi Ct NW, Washington, DC 20037, USA","20037"
"229",158974741,199,"10th & E St NW",31256,38.895914,-77.026064,"440-498 10th St NW, Washington, DC 20004, USA","20004"
"230",158974742,200,"22nd & I St NW / Foggy Bottom",31257,38.90088,-77.048911,"2201 I St NW, Washington, DC 20006, USA","20006"
"231",158974743,201,"Utah St & 11th St N",31049,38.883669,-77.113905,"1101 N Utah St, Arlington, VA 22201, USA","22201"
"232",158974744,202,"Barton St & 10th St N",31050,38.884961,-77.08777,"1001-1023 N Barton St, Arlington, VA 22201, USA","22201"
"233",158974745,203,"Arlington Blvd & N Queen St",31051,38.889365,-77.077294,"1251-1301 N Queen St, Arlington, VA 22209, USA","22209"
"234",158974746,204,"Lincoln Memorial",31258,38.888251,-77.049426,"665 Daniel French Dr SW, Washington, DC 20245, USA","20245"
"235",158974747,206,"20th St & Virginia Ave NW",31259,38.894722,-77.045128,"511 20th St NW, Washington, DC 20006, USA","20006"
"236",158974748,207,"5th St & Massachusetts Ave NW",31265,38.90093,-77.018677,"502 I St NW, Washington, DC 20001, USA","20001"
"237",158974749,208,"39th & Veazey St NW",31308,38.943837,-77.077078,"4200-4232 39th St NW, Washington, DC 20016, USA","20016"
"238",158974750,209,"Fessenden St & Wisconsin Ave NW",31309,38.954812,-77.082426,"4209-4219 Fessenden St NW, Washington, MD 20016, USA","20016"
"239",158974751,210,"M St & Delaware Ave NE",31627,38.905707,-77.003041,"200-298 M St NE, Washington, DC 20002, USA","20002"
"240",158974384,262,"Traville Gateway Dr & Gudelsky Dr",32005,39.093783,-77.202501,"Traville Gateway Dr, Rockville, MD 20850, USA","20850"
"241",158974385,263,"Norfolk Ave & Fairmont St",32000,38.988562,-77.096539,"7801 Norfolk Ave, Bethesda, MD 20814, USA","20814"
"242",158974386,264,"E Montgomery Ave & Maryland Ave",32007,39.084125,-77.151291,"30 E Montgomery Ave, Rockville, MD 20850, USA","20850"
"243",158974387,265,"Cordell & Norfolk Ave",32008,38.98954,-77.098029,"4871 Cordell Ave, Bethesda, MD 20814, USA","20814"
